date,ltp,ltq,bid,ask
2022-08-15 08:23:44,1.020545,0,1.02047,1.02062
2022-08-15 08:23:45,1.020545,0,1.02047,1.02062
2022-08-15 08:23:46,1.020545,0,1.02047,1.02062
2022-08-15 08:23:47,1.020565,4,1.02049,1.02064
2022-08-15 08:23:48,1.020545,0,1.02047,1.02062
2022-08-15 08:23:49,1.020555,2,1.02048,1.02063
2022-08-15 08:23:50,1.020545,4,1.02047,1.02062
2022-08-15 08:23:51,1.020545,0,1.02047,1.02062
2022-08-15 08:23:52,1.020545,0,1.02047,1.02062
2022-08-15 08:23:53,1.020565,0,1.02049,1.02064
2022-08-15 08:23:54,1.020585,0,1.02051,1.02066
2022-08-15 08:23:55,1.020535,5,1.02046,1.02061
2022-08-15 08:23:56,1.020515,0,1.02044,1.02059
2022-08-15 08:23:57,1.020525,1,1.02045,1.0206
2022-08-15 08:23:58,1.020515,1,1.02044,1.02059
2022-08-15 08:23:59,1.020515,0,1.02044,1.02059
2022-08-15 08:24:00,1.020495,5,1.02042,1.02057
2022-08-15 08:24:01,1.020435,0,1.02036,1.02051
2022-08-15 08:24:02,1.020445,0,1.02037,1.02052
2022-08-15 08:24:03,1.020475,2,1.0204,1.02055
2022-08-15 08:24:04,1.020435,0,1.02036,1.02051
2022-08-15 08:24:05,1.020445,2,1.02037,1.02052
2022-08-15 08:24:06,1.020455,0,1.02038,1.02053
2022-08-15 08:24:07,1.020445,1,1.02037,1.02052
2022-08-15 08:24:08,1.020435,0,1.02036,1.02051
2022-08-15 08:24:09,1.020445,1,1.02037,1.02052
2022-08-15 08:24:10,1.020455,1,1.02038,1.02053
2022-08-15 08:24:11,1.02044,0,1.02037,1.02051
2022-08-15 08:24:12,1.02044,5,1.02037,1.02051
2022-08-15 08:24:13,1.020445,0,1.02037,1.02052
2022-08-15 08:24:14,1.02047,3,1.0204,1.02054
2022-08-15 08:24:15,1.02043,10,1.02036,1.0205
2022-08-15 08:24:16,1.020435,0,1.02036,1.02051
2022-08-15 08:24:17,1.020415,0,1.02034,1.02049
2022-08-15 08:24:18,1.020385,2,1.02031,1.02046
2022-08-15 08:24:19,1.020395,3,1.02032,1.02047
2022-08-15 08:24:20,1.020415,6,1.02034,1.02049
2022-08-15 08:24:21,1.02045,2,1.02038,1.02052
2022-08-15 08:24:22,1.02039,0,1.02032,1.02046
2022-08-15 08:24:23,1.020385,6,1.02031,1.02046
